metric,golden_providers,providers_clean,providers_raw_current
completeness_email,0.747281888093344,0.7161303545808567,0.7950399672063948
completeness_npi,0.34844868735083534,0.49641319942611195,0.49641319942611195
completeness_phone,0.9172633253778839,0.9188358270137323,0.9188358270137323
completeness_postal_code,1.0,1.0,1.0
completeness_state,0.9851498276319278,0.9856527977044476,1.0
row_count,3771.0,4879.0,4879.0
suspected_duplicate_row_ratio,0.7573587907716786,0.973560155769625,0.9083828653412584
uniqueness_ratio_email,0.6586231369765791,0.5311963365769892,0.5746326372776489
uniqueness_ratio_npi,1.0,0.5425268373245252,0.5425268373245252
uniqueness_ratio_phone,0.5857184157270887,0.45192951148784294,0.7396832478251171
